label,message,tokens
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248,"['sex', 'ur', 'mobile', 'free', 'sexy', 'pic', 'jordan', 'text', 'babe', '88600.', 'every', 'wk', 'get', 'sexy', 'celeb', 'pocketbabe.co.uk', '4', 'pics', '16', '£3/wk', '087016248']"
ham,Today am going to college so am not able to atten the class.,"['today', 'going', 'college', 'able', 'atten', 'class']"
spam,Call FREEPHONE 0800 542 0578 now!,"['call', 'freephone', '0800', '542', '0578']"
ham,… and don‘t worry we‘ll have finished by march … ish!,"['…', '‘', 'worry', '‘', 'finished', 'march', '…', 'ish']"
spam,FROM 88066 LOST £12 HELP,"['88066', 'lost', '£12', 'help']"
ham,Yes.he have good crickiting mind,"['yes.he', 'good', 'crickiting', 'mind']"
ham,I am great! How are you?,['great']
ham,Is fujitsu s series lifebook good?,"['fujitsu', 'series', 'lifebook', 'good']"
ham,ARR birthday today:) i wish him to get more oscar.,"['arr', 'birthday', 'today', 'wish', 'get', 'oscar']"
ham,Can a not?,[]
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,"[""'m"", 'gon', 'na', 'say', 'sorry', 'would', 'normal', 'starting', 'panic', 'time', 'sorry', 'seeing', 'tuesday']"
ham,No problem with the renewal. I.ll do it right away but i dont know his details.,"['problem', 'renewal', 'i.ll', 'right', 'away', 'dont', 'know', 'details']"
ham,You are a very very very very bad girl. Or lady.,"['bad', 'girl', 'lady']"
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way,"['k', 'actually', 'guys', 'meet', 'sunoco', 'howard', 'right', 'way']"
ham,"I'll see, but prolly yeah","[""'ll"", 'see', 'prolly', 'yeah']"
ham,K..k..any special today?,"['k', '..', 'k', '..', 'special', 'today']"
ham,Did u download the fring app?,"['u', 'download', 'fring', 'app']"
ham,I am waiting machan. Call me once you free.,"['waiting', 'machan', 'call', 'free']"
ham,Yes :)it completely in out of form:)clark also utter waste.,"['yes', 'completely', 'form', 'clark', 'also', 'utter', 'waste']"
ham,"Sorry, got a late start, we're on the way","['sorry', 'got', 'late', 'start', ""'re"", 'way']"
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.,"['howz', 'pain.it', 'come', 'today.do', 'said', 'ystrday.ice', 'medicine']"
ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,"['hmm', 'shall', 'bring', 'bottle', 'wine', 'keep', 'us', 'amused', 'joking', ""'ll"", 'still', 'bring', 'bottle', 'red', 'white', 'see', 'tomorrow']"
ham,Ü takin linear algebra today?,"['ü', 'takin', 'linear', 'algebra', 'today']"
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),"['aww', ""'s"", 'first', 'time', 'u', 'said', 'u', 'missed', 'without', 'asking', 'missed', 'u', 'first', 'love']"
ham,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz","[""'m"", 'see', 'ca', ""n't"", 'see', 'maybe', 'reboot', 'ym', 'seen', 'buzz']"
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,"['hi', 'darlin', 'im', 'way', 'london', 'smashed', 'another', 'driver', 'big', 'dent', 'im', 'really', 'missing', 'u', 'u', 'xxx']"
ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,"['ok', 'lor', 'ned', '2', 'go', 'toa', 'payoh', '4', '2', 'return', 'smth', 'u', 'wan', '2', 'send', 'wat']"
ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala","['dear', 'hero', 'leaving', 'qatar', 'tonite', 'apt', 'opportunity.pls', 'keep', 'touch', 'lt', 'email', 'gt', 'kerala']"
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe","['lol', 'forgot', 'eh', 'yes', ""'ll"", 'bring', 'babe']"
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,"['someone', 'conacted', 'dating', 'service', 'entered', 'phone', 'fancy', 'find', 'call', 'landline', '09111030116.', 'pobox12n146tf15']"
ham,Hey. You got any mail?,"['hey', 'got', 'mail']"
ham,Were somewhere on Fredericksburg,"['somewhere', 'fredericksburg']"
ham,Watching telugu movie..wat abt u?,"['watching', 'telugu', 'movie', '..', 'wat', 'abt', 'u']"
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,"['urgent', 'trying', 'contact', 'last', 'weekends', 'draw', 'shows', '£900', 'prize', 'guaranteed', 'call', '09061701851.', 'claim', 'code', 'k61', 'valid', '12hours']"
ham,I've reached home finally...,"[""'ve"", 'reached', 'home', 'finally', '...']"
ham,I love u 2 my little pocy bell I am sorry but I love u,"['love', 'u', '2', 'little', 'pocy', 'bell', 'sorry', 'love', 'u']"
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,"['neft', 'transaction', 'reference', 'number', 'lt', 'gt', 'rs', 'lt', 'decimal', 'gt', 'credited', 'beneficiary', 'account', 'lt', 'gt', 'lt', 'time', 'gt', 'lt', 'gt']"
ham,Dear we got  &lt;#&gt;  dollars hi hi,"['dear', 'got', 'lt', 'gt', 'dollars', 'hi', 'hi']"
ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?","['ill', 'call', 'u', '2mrw', 'ninish', 'address', 'icky', 'american', 'freek', 'wont', 'stop', 'callin', '2', 'bad', 'jen', 'k', 'eh']"
ham,But am going to college pa. What to do. are else ill come there it self. Pa.,"['going', 'college', 'pa.', 'else', 'ill', 'come', 'self', 'pa']"
ham,If u dun drive then how i go 2 sch.,"['u', 'dun', 'drive', 'go', '2', 'sch']"
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","['gram', 'usually', 'runs', 'like', 'lt', 'gt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'lt', 'gt']"
ham,Got smaller capacity one? Quite ex...,"['got', 'smaller', 'capacity', 'one', 'quite', 'ex', '...']"
ham,You are not bothering me but you have to trust my answers. Pls.,"['bothering', 'trust', 'answers', 'pls']"
ham,Men like shorter ladies. Gaze up into his eyes.,"['men', 'like', 'shorter', 'ladies', 'gaze', 'eyes']"
ham,Y ü wan to go there? C doctor?,"['ü', 'wan', 'go', 'c', 'doctor']"
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,"['trip', 'ok', 'quite', 'tiring', 'lor', 'uni', 'starts', 'today', ""'s"", 'ok', '4', 'cos', ""'m"", 'taking', 'modules', 'jus', 'concentrating', 'final', 'yr', 'project']"
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,"['get', 'official', 'england', 'poly', 'ringtone', 'colour', 'flag', 'yer', 'mobile', 'tonights', 'game', 'text', 'tone', 'flag', '84199.', 'optout', 'txt', 'eng', 'stop', 'box39822', 'w111wx', '£1.50']"
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,"['hope', ""'ve"", 'settled', 'new', 'school', 'year', 'wishin', 'gr8', 'day']"
ham,"Some friends want me to drive em someplace, probably take a while","['friends', 'want', 'drive', 'em', 'someplace', 'probably', 'take']"
ham,I tot u reach liao. He said t-shirt.,"['tot', 'u', 'reach', 'liao', 'said', 't-shirt']"
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,"['hi', 'moved', 'in2', 'pub', 'would', 'great', '2', 'c', 'u', 'u', 'cud', 'come']"
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,"['appt', 'lt', 'time', 'gt', 'fault', 'u', ""n't"", 'listen', 'told', 'u', 'twice']"
ham,Networking technical support associate.,"['networking', 'technical', 'support', 'associate']"
ham,Oh ho. Is this the first time u use these type of words,"['oh', 'ho', 'first', 'time', 'u', 'use', 'type', 'words']"
ham,"I wake up long ago already... Dunno, what other thing?","['wake', 'long', 'ago', 'already', '...', 'dunno', 'thing']"
ham,Moji just informed me that you saved our lives. Thanks.,"['moji', 'informed', 'saved', 'lives', 'thanks']"
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,"['text', 'pass', '69669', 'collect', 'polyphonic', 'ringtones', 'normal', 'gprs', 'charges', 'apply', 'enjoy', 'tones']"
ham,"Call me. I m unable to cal. Lets meet bhaskar, and deep","['call', 'unable', 'cal', 'lets', 'meet', 'bhaskar', 'deep']"
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!,"['thanx', '4', 'puttin', 'da', 'fone']"
ham,"Cool, I'll text you in a few","['cool', ""'ll"", 'text']"
ham,Ya very nice. . .be ready on thursday,"['ya', 'nice', '.be', 'ready', 'thursday']"
ham,I told your number to gautham..,"['told', 'number', 'gautham', '..']"
ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.","['swhrt', 'u', 'dey', 'hope', 'ur', 'ok', 'tot', 'u', '2day.love', 'n', 'miss.take', 'care']"
ham,I'll let you know when it kicks in,"[""'ll"", 'let', 'know', 'kicks']"
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,"['private', '2004', 'account', 'statement', '07742676969', 'shows', '786', 'unredeemed', 'bonus', 'points', 'claim', 'call', '08719180248', 'identifier', 'code', '45239', 'expires']"
ham,What not under standing.,['standing']
ham,I need... Coz i never go before ,"['need', '...', 'coz', 'never', 'go']"
ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?,"['movie', 'theatre', 'go', 'watch', 'unlimited', 'movies', 'pay']"
ham,No..its ful of song lyrics..,"['..', 'ful', 'song', 'lyrics', '..']"
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm","['congrats', '2', 'mobile', '3g', 'videophones', 'r', 'call', '09061744553', 'videochat', 'wid', 'ur', 'mates', 'play', 'java', 'games', 'dload', 'polyh', 'music', 'noline', 'rentl', 'bx420', 'ip4', '5we', '150pm']"
ham,Babe ? I lost you ... Will you try rebooting ?,"['babe', 'lost', '...', 'try', 'rebooting']"
ham,Senthil group company Apnt 5pm.,"['senthil', 'group', 'company', 'apnt', '5pm']"
ham,How dare you change my ring,"['dare', 'change', 'ring']"
ham,yes baby! I need to stretch open your pussy!,"['yes', 'baby', 'need', 'stretch', 'open', 'pussy']"
ham,"Alright if you're sure, let me know when you're leaving","['alright', ""'re"", 'sure', 'let', 'know', ""'re"", 'leaving']"
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,"['sunshine', 'quiz', 'wkly', 'q', 'win', 'top', 'sony', 'dvd', 'player', 'u', 'know', 'country', 'algarve', 'txt', 'ansr', '82277', '£1.50', 'sp', 'tyrone']"
ham,Cos darren say ü considering mah so i ask ü...,"['cos', 'darren', 'say', 'ü', 'considering', 'mah', 'ask', 'ü', '...']"
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,"['leaving', 'yet', 'ok', 'lor', 'go', 'elsewhere', 'n', 'eat', 'u', 'thk', '...']"
ham,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,"['need', 'lar', 'jus', 'testing', 'e', 'phone', 'card', 'dunno', 'network', 'gd', 'thk', 'waiting', '4', 'sis', '2', 'finish', 'bathing', 'bathe', 'dun', 'disturb', 'u', 'liao', 'u', 'cleaning', 'ur', 'room']"
ham,"That's cool he'll be here all night, lemme know when you're around","[""'s"", 'cool', ""'ll"", 'night', 'lem', 'know', ""'re"", 'around']"
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.","['remember', 'hurt', 'days', 'satanic', 'imposter', 'me.need', 'pay', 'price', 'it.may', 'destiny', 'keep', 'going', 'u', 'said', 'pray', 'get', 'mind', 'get']"
ham,Yes:)sura in sun tv.:)lol.,"['yes', 'sura', 'sun', 'tv', 'lol']"
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try","['8', 'latest', 'g', ""'s"", 'still', 'scrounge', 'ammo', 'want', 'give', 'new', 'ak', 'try']"
ham,Its a part of checking IQ,"['part', 'checking', 'iq']"
ham,We left already we at orchard now.,"['left', 'already', 'orchard']"
ham,My battery is low babe,"['battery', 'low', 'babe']"
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,"['tomorrow', 'going', 'theatre', 'come', 'wherever', 'u', 'call', 'tell', 'come', 'tomorrow']"
ham,We got a divorce. Lol. She.s here,"['got', 'divorce', 'lol', 'she.s']"
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!,"['yes', 'meet', 'town', 'cos', 'go', 'gep', 'home', 'could', 'text', 'bus', 'stop', ""n't"", 'worry', ""'ll"", 'finished', 'march', '…', 'ish']"
ham,here is my new address -apples&pairs&all that malarky,"['new', 'address', '-apples', 'pairs', 'malarky']"
ham,Draw va?i dont think so:),"['draw', 'va', 'dont', 'think']"
spam,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,"['urgent', 'trying', 'contact', 'u', 'todays', 'draw', 'shows', '£800', 'prize', 'guaranteed', 'call', '09050000460', 'land', 'line', 'claim', 'j89', 'po', 'box245c2150pm']"
ham,I need details about that online job.,"['need', 'details', 'online', 'job']"
ham,"Yup. Anything lor, if u dun wan it's ok...","['yup', 'anything', 'lor', 'u', 'dun', 'wan', ""'s"", 'ok', '...']"
ham,His bday real is in april .,"['bday', 'real', 'april']"
ham,Oooh bed ridden ey? What are YOU thinking of?,"['oooh', 'bed', 'ridden', 'ey', 'thinking']"
ham,"We are hoping to get away by 7, from Langport. You still up for town tonight?","['hoping', 'get', 'away', '7', 'langport', 'still', 'town', 'tonight']"
spam,"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!","['free', 'msg', 'get', 'gnarls', 'barkleys', '``', 'crazy', ""''"", 'ringtone', 'totally', 'free', 'reply', 'go', 'message', 'right']"
ham,Did u find out what time the bus is at coz i need to sort some stuff out.,"['u', 'find', 'time', 'bus', 'coz', 'need', 'sort', 'stuff']"
ham,Stupid auto correct on my phone,"['stupid', 'auto', 'correct', 'phone']"
spam,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,"['urgent', '2nd', 'attempt', 'contact', 'u.', '£900', 'prize', 'yesterday', 'still', 'awaiting', 'collection', 'claim', 'call', '09061702893.', 'acl03530150pm']"
ham,Dear i am not denying your words please,"['dear', 'denying', 'words', 'please']"
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,"['ur', 'going', '2', 'bahamas', 'callfreefone', '08081560665', 'speak', 'live', 'operator', 'claim', 'either', 'bahamas', 'cruise', 'of£2000', 'cash', '18+only', 'opt', 'txt', 'x', '07786200117']"
ham,I cant pick the phone right now. Pls send a message,"['cant', 'pick', 'phone', 'right', 'pls', 'send', 'message']"
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,"['macha', 'dont', 'feel', 'upset.i', 'assume', 'mindset.believe', 'one', 'evening', 'wonderful', 'plans', 'us.let', 'life', 'begin', 'again.call', 'anytime']"
ham,"Sorry, I'll call later","['sorry', ""'ll"", 'call', 'later']"
ham,Ok...,"['ok', '...']"
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,"['forwarded', '448712404000', 'please', 'call', '08712404000', 'immediately', 'urgent', 'message', 'waiting']"
ham,If u sending her home first it's ok lor. I'm not ready yet.,"['u', 'sending', 'home', 'first', ""'s"", 'ok', 'lor', ""'m"", 'ready', 'yet']"
ham,Ok lor... Or u wan me go look 4 u?,"['ok', 'lor', '...', 'u', 'wan', 'go', 'look', '4', 'u']"
ham,Really good:)dhanush rocks once again:),"['really', 'good', 'dhanush', 'rocks']"
ham,";-( oh well, c u later","['oh', 'well', 'c', 'u', 'later']"
ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,"['hey', 'leave', 'friday', 'wait', 'ask', 'superior', 'tell', '..']"
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary","['shop', 'till', 'u', 'drop', 'either', '10k', '5k', '£500', 'cash', '£100', 'travel', 'voucher', 'call', '09064011000.', 'ntt', 'po', 'box', 'cr01327bt', 'fixedline', 'cost', '150ppm', 'mobile', 'vary']"
ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want","['well', 'general', 'price', 'lt', 'gt', '/oz', 'let', 'know', 'if/when/how', 'much', 'want']"
ham,"Not really dude, have no friends i'm afraid :(","['really', 'dude', 'friends', ""'m"", 'afraid']"
ham,At what time are you coming.,"['time', 'coming']"
